Time   ,AFR   ,AVCS L ,AVCS R ,Boost  ,F Knock ,Fuel Pump Duty ,Inj Duty Cycle ,Intake Temp ,Knock Sum ,MAF    ,MAF Volts ,MAP   ,OCV Duty Int L ,OCV Duty Int R ,RPM  ,TD Boost Error ,Throttle Pos ,Vehicle Speed ,Wastegate Duty ,
 7.237 ,11.03 ,     0 ,     0 ,5.48   ,   0.00 ,         100.0 ,         38.60 ,         70 ,        1 ,146.90 ,     3.82 ,19.65 ,           9.4 ,           9.4 ,2828 ,10.23          ,       100.0 ,           41 ,         44.31 ,
 7.328 ,11.03 ,     0 ,     0 ,5.49   ,   0.00 ,         100.0 ,         39.40 ,         70 ,        1 ,147.53 ,     3.76 ,19.63 ,           9.4 ,           9.4 ,2886 ,10.22          ,       100.0 ,           41 ,         44.71 ,
 7.417 ,11.03 ,     0 ,     0 ,5.51   ,   0.00 ,         100.0 ,         40.05 ,         70 ,        1 ,147.53 ,     3.78 ,19.72 ,           9.4 ,           9.4 ,2888 ,10.18          ,       100.0 ,           41 ,         44.31 ,
 7.512 ,11.03 ,     0 ,     0 ,5.56   ,   0.00 ,         100.0 ,         39.18 ,         70 ,        1 ,150.43 ,     3.82 ,19.68 ,           9.4 ,           9.4 ,2826 ,10.18          ,       100.0 ,           42 ,         45.10 ,
 7.595 ,11.03 ,     0 ,     0 ,5.58   ,   0.00 ,         100.0 ,         39.71 ,         70 ,        1 ,150.74 ,     3.80 ,19.70 ,           9.4 ,           9.4 ,2864 ,10.17          ,       100.0 ,           42 ,         45.49 ,
 7.697 ,11.03 ,     0 ,     0 ,5.63   ,   0.00 ,         100.0 ,         40.58 ,         70 ,        1 ,151.40 ,     3.84 ,19.65 ,           9.4 ,           9.4 ,2882 ,10.23          ,       100.0 ,           42 ,         45.88 ,
 7.786 ,11.03 ,     0 ,     0 ,5.62   ,   0.00 ,         100.0 ,         39.97 ,         70 ,        1 ,153.37 ,     3.82 ,19.76 ,           9.4 ,           9.4 ,2839 ,10.11          ,       100.0 ,           42 ,         45.10 ,
 7.864 ,11.03 ,     0 ,     0 ,5.56   ,   0.00 ,         100.0 ,         41.32 ,         70 ,        1 ,153.68 ,     3.80 ,19.74 ,           9.4 ,           9.4 ,2935 ,10.13          ,       100.0 ,           42 ,         44.71 ,
 7.955 ,11.03 ,     0 ,     0 ,5.51   ,   0.00 ,         100.0 ,         41.33 ,         70 ,        1 ,155.02 ,     3.86 ,19.76 ,           9.4 ,           9.4 ,2891 ,10.12          ,       100.0 ,           42 ,         44.71 ,
 8.052 ,11.03 ,     0 ,     0 ,4.41   ,   0.00 ,         100.0 ,         30.77 ,         70 ,        1 ,142.79 ,     3.62 ,19.59 ,           9.4 ,           9.4 ,2828 ,-11.88         ,        18.4 ,           42 ,          0.00 ,
 8.140 ,11.03 ,     0 ,     0 ,-1.76  ,   0.00 ,         100.0 ,         14.91 ,         70 ,        1 ,102.38 ,     3.34 ,14.52 ,           9.4 ,           9.4 ,2796 ,-7.05          ,         9.4 ,           42 ,          0.00 ,
 8.230 ,11.25 ,     0 ,     0 ,-5.41  ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 76.20 ,     3.06 , 8.74 ,           9.4 ,           9.4 ,2918 ,-3.62          ,         8.6 ,           42 ,          0.00 ,
 8.316 ,12.06 ,     0 ,     0 ,-7.22  ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 58.06 ,     2.80 , 7.41 ,           9.4 ,           9.4 ,2825 ,-1.11          ,         8.2 ,           42 ,          0.00 ,
 8.410 ,12.63 ,     0 ,     0 ,-8.28  ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 44.35 ,     2.58 , 6.52 ,           9.4 ,           9.4 ,2870 ,-0.59          ,         7.5 ,           41 ,          0.00 ,
 8.496 ,11.94 ,     0 ,     0 ,-9.11  ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 38.11 ,     2.46 , 5.18 ,           9.4 ,           9.4 ,2825 ,0.01           ,         6.3 ,           41 ,          0.00 ,
 8.584 ,11.71 ,     0 ,     0 ,-9.73  ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 33.64 ,     2.40 , 4.70 ,           9.4 ,           9.4 ,2869 ,0.13           ,         5.5 ,           41 ,          0.00 ,
 8.675 ,11.60 ,     0 ,     0 ,-10.19 ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 31.54 ,     2.34 , 3.98 ,           9.4 ,           9.4 ,2814 ,0.42           ,         5.5 ,           41 ,          0.00 ,
 8.763 ,11.60 ,     0 ,     0 ,-10.40 ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 28.93 ,     2.30 , 3.83 ,           9.4 ,           9.4 ,2800 ,0.88           ,         5.5 ,           41 ,          0.00 ,
 8.858 ,12.06 ,     0 ,     0 ,-10.50 ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 26.92 ,     2.26 , 3.71 ,           9.4 ,           9.4 ,2767 ,0.99           ,         5.5 ,           40 ,          0.00 ,
 8.955 ,12.40 ,     0 ,     0 ,-10.55 ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 25.53 ,     2.22 , 3.58 ,           9.4 ,           9.4 ,2806 ,1.19           ,         5.5 ,           40 ,          0.00 ,
 9.038 ,12.63 ,     0 ,     0 ,-10.58 ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 24.14 ,     2.18 , 3.58 ,           9.4 ,           9.4 ,2800 ,1.26           ,         5.5 ,           40 ,          0.00 ,
 9.123 ,12.52 ,     0 ,     0 ,-10.64 ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 23.62 ,     2.16 , 3.50 ,           9.4 ,           9.4 ,2778 ,1.29           ,         5.5 ,           40 ,          0.00 ,
 9.219 ,11.83 ,     0 ,     0 ,-10.69 ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 22.50 ,     2.12 , 3.46 ,           9.4 ,           9.4 ,2750 ,1.42           ,         5.5 ,           40 ,          0.00 ,
 9.306 ,12.40 ,     0 ,     0 ,-10.75 ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 21.29 ,     2.10 , 3.36 ,           9.4 ,           9.4 ,2722 ,1.49           ,         5.5 ,           40 ,          0.00 ,
 9.397 ,13.32 ,     0 ,     0 ,-10.74 ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 20.66 ,     2.08 , 3.40 ,           9.4 ,           9.4 ,2726 ,1.52           ,         5.5 ,           40 ,          0.00 ,
 9.495 ,14.36 ,     0 ,     0 ,-10.70 ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 19.78 ,     2.06 , 3.42 ,           9.4 ,           9.4 ,2713 ,1.55           ,         5.5 ,           40 ,          0.00 ,
 9.578 ,16.19 ,     0 ,     0 ,-10.69 ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 19.07 ,     2.04 , 3.46 ,           9.4 ,           9.4 ,2734 ,1.43           ,         5.5 ,           39 ,          0.00 ,
 9.671 ,18.49 ,     0 ,     0 ,-10.73 ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 18.76 ,     2.02 , 3.42 ,           9.4 ,           9.4 ,2728 ,1.51           ,         5.1 ,           39 ,          0.00 ,
 9.765 ,20.44 ,     0 ,     0 ,-10.75 ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 18.25 ,     2.00 , 3.38 ,           9.4 ,           9.4 ,2709 ,1.53           ,         5.1 ,           39 ,          0.00 ,
 9.855 ,20.44 ,     0 ,     0 ,-10.78 ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 17.67 ,     1.98 , 3.38 ,           9.4 ,           9.4 ,2703 ,1.70           ,         5.5 ,           39 ,          0.00 ,
 9.939 ,20.44 ,     0 ,     0 ,-10.79 ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 17.38 ,     1.98 , 3.36 ,           9.4 ,           9.4 ,2690 ,1.75           ,         5.1 ,           39 ,          0.00 ,
10.025 ,20.44 ,     0 ,     0 ,-10.79 ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 17.16 ,     1.98 , 3.36 ,           9.4 ,           9.4 ,2687 ,1.76           ,         5.1 ,           39 ,          0.00 ,
10.115 ,20.44 ,     0 ,     0 ,-10.82 ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 16.87 ,     1.96 , 3.36 ,           9.4 ,           9.4 ,2677 ,1.70           ,         5.1 ,           39 ,          0.00 ,
10.204 ,20.44 ,     0 ,     0 ,-10.84 ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 16.44 ,     1.94 , 3.31 ,           9.4 ,           9.4 ,2665 ,1.72           ,         5.1 ,           39 ,          0.00 ,
10.293 ,20.44 ,     0 ,     0 ,-10.84 ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 16.18 ,     1.94 , 3.31 ,           9.4 ,           9.4 ,2655 ,1.91           ,         5.1 ,           38 ,          0.00 ,
10.384 ,20.44 ,     0 ,     0 ,-10.86 ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 16.11 ,     1.94 , 3.29 ,           9.4 ,           9.4 ,2638 ,1.93           ,         5.1 ,           38 ,          0.00 ,
10.473 ,20.44 ,     0 ,     0 ,-10.87 ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 15.85 ,     1.92 , 3.29 ,           9.4 ,           9.4 ,2631 ,1.90           ,         5.1 ,           38 ,          0.00 ,
10.572 ,20.44 ,     0 ,     0 ,-10.90 ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 15.65 ,     1.92 , 3.25 ,           9.4 ,           9.4 ,2586 ,2.03           ,         5.1 ,           38 ,          0.00 ,
10.655 ,20.44 ,     0 ,     0 ,-10.90 ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 15.65 ,     1.92 , 3.25 ,           9.4 ,           9.4 ,2576 ,2.06           ,         5.1 ,           37 ,          0.00 ,
10.751 ,20.44 ,     0 ,     0 ,-10.86 ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 15.52 ,     1.90 , 3.27 ,           9.4 ,           9.4 ,2568 ,2.00           ,         5.1 ,           37 ,          0.00 ,
10.836 ,20.44 ,     0 ,     0 ,-10.86 ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 15.19 ,     1.90 , 3.29 ,           9.4 ,           9.4 ,2551 ,2.00           ,         5.1 ,           37 ,          0.00 ,
10.931 ,20.44 ,     0 ,     0 ,-10.86 ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 15.32 ,     1.90 , 3.29 ,           9.4 ,           9.4 ,2574 ,2.13           ,         5.1 ,           37 ,          0.00 ,
11.019 ,20.44 ,     0 ,     0 ,-10.73 ,   0.00 ,          33.3 ,          6.10 ,         70 ,        1 , 18.47 ,     2.10 , 3.29 ,           9.4 ,           9.4 ,2602 ,4.59           ,         9.4 ,           37 ,          0.00 ,
11.103 ,20.44 ,     0 ,     0 ,-9.75  ,   0.00 ,          33.3 ,          7.67 ,         70 ,        1 , 23.10 ,     2.24 , 4.39 ,           9.4 ,           9.4 ,2567 ,5.26           ,        12.9 ,           37 ,          0.00 ,
11.193 ,20.44 ,     0 ,     0 ,-8.13  ,   0.00 ,          66.7 ,         12.12 ,         70 ,        1 , 32.09 ,     2.50 , 5.28 ,           9.4 ,           9.4 ,2582 ,9.23           ,        18.8 ,           37 ,          0.00 ,
11.292 ,20.44 ,     0 ,     0 ,-5.11  ,   0.00 ,          66.7 ,         14.03 ,         70 ,        1 , 43.97 ,     2.68 , 7.29 ,           9.4 ,           9.4 ,2530 ,9.51           ,        25.1 ,           37 ,         48.24 ,
11.380 ,20.44 ,     0 ,     0 ,-1.51  ,   0.00 ,         100.0 ,         16.53 ,         70 ,        1 , 57.91 ,     2.78 ,12.09 ,           9.4 ,           9.4 ,2582 ,17.78          ,        77.6 ,           37 ,         42.35 ,
11.472 ,18.60 ,     0 ,     0 ,0.17   ,   0.00 ,         100.0 ,         14.85 ,         70 ,        1 , 55.96 ,     2.86 ,14.12 ,           9.4 ,           9.4 ,2578 ,15.75          ,       100.0 ,           37 ,         43.92 ,
11.565 ,16.19 ,     0 ,     0 ,0.49   ,   0.00 ,         100.0 ,         16.09 ,         70 ,        1 , 59.41 ,     2.98 ,14.58 ,           9.4 ,           9.4 ,2601 ,15.49          ,       100.0 ,           37 ,         43.92 ,
11.650 ,14.36 ,     0 ,     0 ,0.79   ,   0.00 ,         100.0 ,         18.00 ,         70 ,        1 , 64.40 ,     3.02 ,14.83 ,           9.4 ,           9.4 ,2636 ,15.05          ,       100.0 ,           38 ,         43.92 ,
11.733 ,13.67 ,     0 ,     0 ,1.19   ,   0.00 ,         100.0 ,         19.17 ,         70 ,        1 , 68.82 ,     3.02 ,15.12 ,           9.4 ,           9.4 ,2643 ,14.76          ,       100.0 ,           38 ,         43.92 ,
11.826 ,13.09 ,     0 ,     0 ,1.58   ,   0.00 ,         100.0 ,         20.01 ,         70 ,        1 , 72.93 ,     3.12 ,15.66 ,           9.4 ,           9.4 ,2680 ,14.21          ,       100.0 ,           39 ,         43.92 ,
11.920 ,12.75 ,     0 ,     0 ,2.02   ,   0.00 ,         100.0 ,         21.20 ,         70 ,        1 , 78.20 ,     3.12 ,16.01 ,           9.4 ,           9.4 ,2686 ,13.86          ,       100.0 ,           39 ,         43.92 ,
12.014 ,12.29 ,     0 ,     0 ,2.40   ,   0.00 ,         100.0 ,         22.55 ,         70 ,        1 , 83.34 ,     3.22 ,16.53 ,           9.4 ,           9.4 ,2710 ,13.59          ,       100.0 ,           39 ,         43.92 ,
12.097 ,11.94 ,     0 ,     0 ,2.82   ,   0.00 ,         100.0 ,         24.53 ,         70 ,        1 , 88.43 ,     3.34 ,16.86 ,           9.4 ,           9.4 ,2738 ,13.01          ,       100.0 ,           39 ,         43.92 ,
12.191 ,11.25 ,     0 ,     0 ,3.23   ,   0.00 ,         100.0 ,         26.47 ,         70 ,        1 , 94.99 ,     3.38 ,17.36 ,           9.4 ,           9.4 ,2758 ,12.77          ,       100.0 ,           40 ,         43.92 ,
12.276 ,11.03 ,     0 ,     0 ,3.56   ,   0.00 ,         100.0 ,         27.93 ,         70 ,        1 ,100.76 ,     3.38 ,17.60 ,           9.4 ,           9.4 ,2727 ,12.27          ,       100.0 ,           40 ,         43.92 ,
12.363 ,11.03 ,     0 ,     0 ,3.88   ,   0.00 ,         100.0 ,         29.34 ,         70 ,        1 ,106.96 ,     3.44 ,17.89 ,           9.4 ,           9.4 ,2751 ,11.99          ,       100.0 ,           40 ,         43.53 ,
12.457 ,11.03 ,     0 ,     0 ,4.16   ,   0.00 ,         100.0 ,         31.32 ,         70 ,        1 ,111.64 ,     3.54 ,18.29 ,           9.4 ,           9.4 ,2770 ,11.81          ,       100.0 ,           40 ,         43.92 ,
12.544 ,11.03 ,     0 ,     0 ,4.46   ,   0.00 ,         100.0 ,         32.50 ,         70 ,        1 ,116.35 ,     3.52 ,18.45 ,           9.4 ,           9.4 ,2822 ,11.43          ,       100.0 ,           40 ,         44.31 ,
12.647 ,11.03 ,     0 ,     0 ,4.64   ,   0.00 ,         100.0 ,         33.50 ,         70 ,        1 ,122.19 ,     3.62 ,18.78 ,           9.4 ,           9.4 ,2804 ,11.20          ,       100.0 ,           41 ,         43.92 ,
12.733 ,11.03 ,     0 ,     0 ,4.85   ,   0.00 ,         100.0 ,         35.46 ,         70 ,        1 ,127.25 ,     3.62 ,18.93 ,           9.4 ,           9.4 ,2818 ,10.94          ,       100.0 ,           41 ,         44.71 ,
12.819 ,11.03 ,     0 ,     0 ,5.01   ,   0.00 ,         100.0 ,         36.82 ,         70 ,        1 ,131.88 ,     3.70 ,19.03 ,           9.4 ,           9.4 ,2830 ,10.85          ,       100.0 ,           41 ,         45.10 ,
12.907 ,11.03 ,     0 ,     0 ,5.14   ,   0.00 ,         100.0 ,         38.07 ,         70 ,        1 ,136.40 ,     3.68 ,19.30 ,           9.4 ,           9.4 ,2878 ,10.66          ,       100.0 ,           41 ,         44.71 ,
12.995 ,11.03 ,     0 ,     0 ,5.24   ,   0.00 ,         100.0 ,         39.34 ,         70 ,        1 ,140.96 ,     3.78 ,19.43 ,           9.4 ,           9.4 ,2882 ,10.45          ,       100.0 ,           42 ,         45.10 ,
13.089 ,11.03 ,     0 ,     0 ,5.44   ,   0.00 ,         100.0 ,         39.62 ,         70 ,        1 ,143.74 ,     3.74 ,19.59 ,           9.4 ,           9.4 ,2857 ,10.40          ,       100.0 ,           42 ,         45.88 ,
13.185 ,11.03 ,     0 ,     0 ,5.58   ,   0.00 ,         100.0 ,         40.26 ,         70 ,        1 ,146.27 ,     3.80 ,19.65 ,           9.4 ,           9.4 ,2860 ,10.26          ,       100.0 ,           42 ,         44.71 ,
13.272 ,11.03 ,     0 ,     0 ,5.42   ,   0.00 ,         100.0 ,         38.28 ,         70 ,        1 ,147.22 ,     3.66 ,19.65 ,           9.4 ,           9.4 ,2894 ,10.22          ,        24.7 ,           42 ,          0.00 ,
13.365 ,11.03 ,     0 ,     0 ,-1.03  ,   0.00 ,         100.0 ,         18.83 ,         70 ,        1 ,110.79 ,     3.32 ,13.88 ,           9.4 ,           9.4 ,2758 ,-6.36          ,         9.8 ,           42 ,          0.00 ,
13.447 ,11.14 ,     0 ,     0 ,-5.11  ,   0.00 ,          66.7 ,          0.00 ,         70 ,        1 , 76.02 ,     3.10 ,10.31 ,           9.4 ,           9.4 ,2914 ,-3.34          ,         9.0 ,           42 ,          0.00 ,
13.542 ,11.83 ,     0 ,     0 ,-6.85  ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 59.77 ,     2.80 , 7.29 ,           9.4 ,           9.4 ,2808 ,-1.62          ,         8.2 ,           42 ,          0.00 ,
13.626 ,12.75 ,     0 ,     0 ,-8.04  ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 45.38 ,     2.58 , 6.42 ,           9.4 ,           9.4 ,2916 ,-0.52          ,         7.5 ,           41 ,          0.00 ,
13.712 ,12.17 ,     0 ,     0 ,-8.93  ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 38.83 ,     2.46 , 5.65 ,           9.4 ,           9.4 ,2786 ,-0.16          ,         6.7 ,           41 ,          0.00 ,
13.812 ,12.06 ,     0 ,     0 ,-9.56  ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 34.34 ,     2.40 , 4.66 ,           9.4 ,           9.4 ,2816 ,0.18           ,         5.5 ,           41 ,          0.00 ,
13.898 ,11.94 ,     0 ,     0 ,-10.11 ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 32.31 ,     2.34 , 4.25 ,           9.4 ,           9.4 ,2823 ,0.44           ,         5.5 ,           41 ,          0.00 ,
13.991 ,11.71 ,     0 ,     0 ,-10.32 ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 29.33 ,     2.30 , 3.81 ,           9.4 ,           9.4 ,2831 ,0.85           ,         5.5 ,           40 ,          0.00 ,
14.084 ,12.06 ,     0 ,     0 ,-10.49 ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 27.23 ,     2.26 , 3.71 ,           9.4 ,           9.4 ,2799 ,1.05           ,         5.5 ,           40 ,          0.00 ,
14.169 ,12.40 ,     0 ,     0 ,-10.54 ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 25.63 ,     2.22 , 3.65 ,           9.4 ,           9.4 ,2777 ,1.23           ,         5.5 ,           40 ,          0.00 ,
14.257 ,12.98 ,     0 ,     0 ,-10.55 ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 24.24 ,     2.18 , 3.60 ,           9.4 ,           9.4 ,2748 ,1.23           ,         5.5 ,           40 ,          0.00 ,
14.349 ,12.75 ,     0 ,     0 ,-10.60 ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 23.28 ,     2.14 , 3.56 ,           9.4 ,           9.4 ,2750 ,1.32           ,         5.5 ,           40 ,          0.00 ,
14.442 ,12.52 ,     0 ,     0 ,-10.68 ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 22.32 ,     2.12 , 3.46 ,           9.4 ,           9.4 ,2779 ,1.34           ,         5.5 ,           40 ,          0.00 ,
14.531 ,12.75 ,     0 ,     0 ,-10.69 ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 21.05 ,     2.08 , 3.42 ,           9.4 ,           9.4 ,2741 ,1.55           ,         5.5 ,           40 ,          0.00 ,
14.616 ,13.67 ,     0 ,     0 ,-10.69 ,   0.00 ,          33.3 ,          0.00 ,         70 ,        1 , 20.34 ,     2.08 , 3.46 ,           9.4 ,           9.4 ,2753 ,1.43           ,         5.5 ,           39 ,          0.00 ,
